,/ground_truth.x,/ground_truth.y,/ground_truth.z,/joint_states.elbow_joint,/joint_states.shoulder_lift_joint,/joint_states.shoulder_pan_joint,/joint_states.wrist_1_joint,/joint_states.wrist_2_joint,/joint_states.wrist_3_joint,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
2.0,0.007700731400121271,0.3210152034220063,0.9470427278481012,-1.4112679756664461,-1.8788726710907842,4.123472585168293,-0.29976233910978894,1.4120378653457757,-0.7319081306155488,-8.650426340672446,-9.92310453360442,-6.19061013341325,-0.2250919057274347,0.6104879527642919,0.05229652513042884,0.5238917467684994,0.5316500279909337,0.4373721812959723,0.7873852024143119,-0.30647663642030676,0.20509112616419628,-0.49399822298887847
2.1,0.0077051972763263026,0.32087673070806655,0.9470896211704527,-1.412555101232201,-1.8778723600912495,4.123608112335205,-0.2997037091566114,1.4119357630360576,-0.7318371710708452,-8.894611673712435,-10.006542936316325,-6.154926353679524,-0.24101114775255794,0.6221635818783524,0.05446483763692032,0.5235847130115182,0.5313389406852586,0.4373135630749989,0.7874724276964705,-0.30648091274466926,0.20507193749653244,-0.4938644816064828
2.2,0.007686338234811683,0.3210555577973419,0.9470291303615733,-1.4137645983187883,-1.8764713371518487,4.123769059789916,-0.2996743482402344,1.4117901514438704,-0.731784935702489,-8.561420835273701,-9.768100750846848,-6.461601218363015,-0.23231878076221865,0.60509888758359,0.04817930314164852,0.5231018303488544,0.5308440909726846,0.43754403564125394,0.7874564838943616,-0.3064787205508888,0.20507898511001263,-0.493888337267106
2.3000000000000003,0.007664798835178927,0.3212708470561157,0.9469562996194363,-1.4147822211992622,-1.8751102131210071,4.123910502632065,-0.29968153856688734,1.411688251873054,-0.7317189177218081,-8.69752838826319,-10.023284497442955,-6.415842297864454,-0.2220197623964156,0.6016228420425543,0.0486302732372847,0.5229409346798348,0.5306182955988722,0.4378105745065691,0.7873656946099801,-0.30648531151582137,0.20510888161853266,-0.49401656192640797
2.4000000000000004,0.00769548911584803,0.3203780324814884,0.9472543763962991,-1.4162073135375977,-1.8739244394550953,4.124057119110022,-0.2996709234660217,1.4115743189005163,-0.7316534285784692,-8.198867534792054,-9.019309059371098,-6.979218592665817,-0.18052336866986365,0.5538031152967801,0.05661044321270372,0.5226193626026753,0.5302802121076288,0.4380155284409038,0.7873460597894467,-0.3064680165712532,0.2051199704536269,-0.49405397951440316
2.5,0.0078078541738110145,0.31775240749545375,0.9481324641714268,-1.4176464719286468,-1.8729183834270564,4.124185397914191,-0.29967303061220046,1.4114164325374339,-0.7315622605640162,-8.664174512235405,-9.391008765851877,-6.721171347968257,-0.16115757041076884,0.5513769322115301,0.04998184355295118,0.5221063744485025,0.5297617071418698,0.4379025060598727,0.7874839432279153,-0.30649154297429193,0.20508192674577627,-0.4938353739513722
2.6,0.007920219231773998,0.3151267825094191,0.9490105519465545,-1.4188206176892915,-1.871719178398808,4.124374866485596,-0.2995780309219543,1.4112953361667562,-0.7315365347804328,-8.347225793682792,-9.207121443598496,-7.481628402538652,-0.13174977588031003,0.5312148019801154,0.033681925812734055,0.5219302094208168,0.5295929297640793,0.4378765084489001,0.7875266943087669,-0.3064907052145981,0.20506240789757932,-0.4937758218416646
2.7,0.008068496480420427,0.3114304755526614,0.9502174875676924,-1.4197921752929688,-1.8703809080248213,4.124495029449463,-0.29957591079359674,1.4111676712587293,-0.7314634168123189,-8.417787201595525,-9.115925181418614,-7.318106166334546,-0.09169902969262274,0.5121101497086256,0.02134611945330806,0.5214491653656949,0.5290929004156013,0.438349042273866,0.7874128093807369,-0.3064676896268711,0.205080687406958,-0.4939641024311307
2.8000000000000003,0.008275049814725403,0.30599673200260524,0.9519580571687689,-1.4209469476574468,-1.86903258131343,4.124626636505127,-0.2996141554296972,1.411044538553412,-0.7314046064959925,-8.580941992693145,-9.099169573372473,-7.438210575122162,-0.10554954547274853,0.5158556596917556,0.02705701078577033,0.521244890094249,0.5288539173047715,0.43855935203006935,0.7873622787825798,-0.3064550224036335,0.20511290818722522,-0.4940391240467402
2.9000000000000004,0.00848160314903038,0.30056298845254914,0.9536986267698455,-1.4223643832299502,-1.8679716412673095,4.124766348073763,-0.2996189475950135,1.4109488292284678,-0.7313372090502823,-8.340559178857234,-9.36668881550239,-7.163773173991571,-0.1449880575045417,0.5466391585701507,0.021750506543856837,0.5208738781504632,0.5284641288714231,0.438759015232584,0.7873593504892276,-0.3064382170884973,0.20509296565163404,-0.49406249376472877
